

*dataset:
*location: figure_8_d
*dscomment: Combination: Observed 95% CL exclusion contour for chargino neutralino production via Wh.
*reackey: P P --> CHARGINO1 NEUTRALINO2 X
*obskey: UPPER LIMIT
*qual: . : GIVE COLUMN EXPLANATIONS, IF YOU USED OVERLAYS
*qual: RE : P P --> CHARGINO1 < W NEUTRALINO1 > NEUTRALINO2 < H NEUTRALINO1 > X
*qual: SQRT(S) IN GEV : 8000.0
*yheader: M(NEUTRALINO1) IN GEV
*xheader: M(CHARGINO1,NEUTRALINO2) IN GEV
*data: x : y
 242.5; 15.27;
 246.3; 12.5;
 247.5; 11.11;
 250.7; 7.5;
 252.5; 5.517;
 257.5; 3.614;
 262.5; 3.228;
 267.5; 2.844;
 272; 2.5;
 272; -2.5;
 267.5; -2.505;
 262.5; -2.51;
 257.5; -2.516;
 252.5; -2.521;
 247.5; -2.558;
 242.5; -2.575;
 237.5; -2.591;
 232.5; -2.606;
 227.5; -2.621;
 222.5; -2.618;
 217.5; -2.627;
 212.5; -2.636;
 207.5; -2.645;
 202.5; -2.654;
 197.5; -2.682;
 192.5; -2.711;
 187.5; -2.739;
 182.5; -2.766;
 177.5; -2.791;
 172.5; -2.81;
 167.5; -2.858;
 162.5; -2.902;
 157.5; -2.942;
 152.5; -2.98;
 147.5; -3.035;
 142.5; -3.084;
 137.5; -3.129;
 132.5; -3.17;
 127.5; -2.644;
 127.4; -2.5;
 127.4; 2.5;
 127.5; 2.644;
 132.4; 7.5;
 132.5; 7.644;
 137.4; 12.5;
 137.5; 12.64;
 142.4; 17.5;
 142.5; 17.64;
 147.4; 22.5;
 147.5; 22.64;
 152.4; 27.5;
 152.5; 27.64;
 157.4; 32.5;
 157.5; 32.64;
 162.4; 37.5;
 162.5; 37.64;
 167.4; 42.5;
 167.5; 42.64;
 172.5; 42.53;
 176.6; 42.5;
 177.5; 41.78;
 182.5; 37.77;
 182.8; 37.5;
 187.5; 35.47;
 192.5; 34.09;
 197.5; 33.39;
 202.5; 32.71;
 204; 32.5;
 207.5; 31.99;
 212.5; 31.38;
 217.5; 30.77;
 222.5; 30.89;
 227.5; 31.43;
 232.5; 28.51;
 232.7; 27.5;
 235.4; 22.5;
 237.5; 20.23;
 240; 17.5;
 242.5; 15.27;
*dataend:


*dataset:
*location: figure_8_d
*dscomment: Combination: Expected 95% CL exclusion contour for chargino neutralino production via Wh.
*reackey: P P --> CHARGINO1 NEUTRALINO2 X
*obskey: UPPER LIMIT
*qual: . : GIVE COLUMN EXPLANATIONS, IF YOU USED OVERLAYS
*qual: RE : P P --> CHARGINO1 < W NEUTRALINO1 > NEUTRALINO2 < H NEUTRALINO1 > X
*qual: SQRT(S) IN GEV : 8000.0
*yheader: M(NEUTRALINO1) IN GEV
*xheader: M(CHARGINO1,NEUTRALINO2) IN GEV
*data: x : y
 247.5; 25.6;
 250.4; 22.5;
 252.5; 19.9;
 254.4; 17.5;
 257.5; 13.6;
 258.4; 12.5;
 262.5; 8.237;
 263.9; 7.5;
 267.5; 5.563;
 272.5; 3.062;
 274; 2.5;
 274; -2.5;
 272.5; -2.503;
 267.5; -2.521;
 262.5; -2.538;
 257.5; -2.555;
 252.5; -2.572;
 247.5; -2.603;
 242.5; -2.619;
 237.5; -2.635;
 232.5; -2.65;
 227.5; -2.665;
 222.5; -2.661;
 217.5; -2.677;
 212.5; -2.692;
 207.5; -2.706;
 202.5; -2.721;
 197.5; -2.749;
 192.5; -2.775;
 187.5; -2.8;
 182.5; -2.824;
 177.5; -2.846;
 172.5; -2.872;
 167.5; -2.92;
 162.5; -2.963;
 157.5; -3.003;
 152.5; -3.04;
 147.5; -3.091;
 142.5; -3.125;
 137.5; -3.157;
 132.5; -3.186;
 127.5; -2.645;
 127.4; -2.5;
 127.4; 2.5;
 127.5; 2.645;
 132.4; 7.5;
 132.5; 7.645;
 137.4; 12.5;
 137.5; 12.64;
 142.4; 17.5;
 142.5; 17.64;
 147.4; 22.5;
 147.5; 22.64;
 152.4; 27.5;
 152.5; 27.64;
 157.4; 32.5;
 157.5; 32.64;
 162.4; 37.5;
 162.5; 37.64;
 167.4; 42.5;
 167.5; 42.64;
 172.4; 47.5;
 172.5; 47.64;
 177.4; 52.5;
 177.5; 52.64;
 182.5; 52.53;
 187.5; 54.1;
 192.5; 53.83;
 197.5; 53.4;
 202.5; 52.51;
 202.5; 52.5;
 207.5; 49.79;
 211.9; 47.5;
 212.5; 46.96;
 217.5; 42.75;
 218; 42.5;
 222.5; 40.83;
 227.5; 39;
 231.7; 37.5;
 232.5; 37.03;
 237.5; 33.52;
 238.7; 32.5;
 242.5; 29.22;
 244.5; 27.5;
 247.5; 25.6;
*dataend:
