

*dataset:
*location: figure_app_4_b
*dscomment: Acceptance for SRlbb-1, mbb sideband
*reackey: P P --> CHARGINO1 NEUTRALINO2 X
*obskey: ACC
*qual: . : acceptance
*qual: RE : P P --> CHARGINO1 < W NEUTRALINO1 > NEUTRALINO2 < H NEUTRALINO1 > X
*qual: SQRT(S) IN GEV : 8000.0
*yheader: ACCEPTANCE
*xheader: M(CHARGINO1) IN GEV : M(NEUTRALINO1) IN GEV  :
*data: x : x : y
130; 0; 6.362e-05;
150; 0; 0.0001027;
175; 0; 0.0001558;
200; 0; 0.000177;
225; 0; 0.0001946;
250; 0; 0.0002792;
275; 0; 0.0003407;
300; 0; 0.0003527;
325; 0; 0.0004224;
350; 0; 0.0005297;
140; 10; 9.347e-05;
163; 13; 9.657e-05;
188; 13; 0.0001687;
213; 13; 0.0001882;
238; 13; 0.0002529;
263; 13; 0.0003064;
288; 13; 0.0003669;
313; 13; 0.0003806;
338; 13; 0.0004521;
153; 23; 8.007e-05;
175; 25; 0.000128;
200; 25; 0.0001847;
225; 25; 0.0001971;
250; 25; 0.0002085;
275; 25; 0.0003463;
300; 25; 0.0003494;
325; 25; 0.0004705;
350; 25; 0.0004781;
165; 35; 0.0001059;
188; 38; 0.0001272;
213; 38; 0.0001701;
238; 38; 0.0001919;
263; 38; 0.0002698;
288; 38; 0.0003696;
313; 38; 0.0003586;
178; 48; 0.000104;
200; 50; 0.000123;
225; 50; 0.0002025;
250; 50; 0.0002791;
275; 50; 0.0002992;
300; 50; 0.0003871;
325; 50; 0.0003885;
350; 50; 0.0004888;
190; 60; 9.501e-05;
213; 63; 0.0001409;
238; 63; 0.0001826;
263; 63; 0.0002585;
288; 63; 0.0003063;
203; 73; 8.904e-05;
225; 75; 0.0001486;
250; 75; 0.0002184;
275; 75; 0.000261;
300; 75; 0.0002893;
325; 75; 0.0004071;
350; 75; 0.0003938;
215; 85; 8.02e-05;
238; 88; 0.0001177;
263; 88; 0.0002087;
228; 98; 7.632e-05;
250; 100; 0.0001466;
275; 100; 0.0002117;
300; 100; 0.0002824;
325; 100; 0.0003114;
350; 100; 0.0004381;
240; 110; 8.031e-05;
*dataend:
